product_category_name,product_category_name_english
beleza_saude,Beauty & Cosmetics
informatica_acessorios,Electronics
automotivo,Automotive
cama_mesa_banho,Home & Furniture
moveis_decoracao,Home Decor
esporte_lazer,Sports & Outdoors
perfumaria,Beauty & Cosmetics
utilidades_domesticas,Home Essentials
telefonia,Smartphones
relogios_presentes,Watches & Jewelry
alimentos_bebidas,Food & Beverages
bebes,Baby Products
papelaria,Office & School Supplies
tablets_impressao_imagem,Tablets & Printing
brinquedos,Toys
telefonia_fixa,Telecommunications
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,Fashion & Accessories
eletroportateis,Small Electronics
consoles_games,Gaming
audio,Audio Equipment
fashion_calcados,Shoes
cool_stuff,Lifestyle Products
malas_acessorios,Luggage & Travel
climatizacao,Heating & Cooling
construcao_ferramentas_construcao,Construction Tools
moveis_cozinha_area_de_servico_jantar_e_jardim,Kitchen & Garden
construcao_ferramentas_jardim,Garden Equipment
fashion_roupa_masculina,Men's Fashion
pet_shop,Pet Supplies
moveis_escritorio,Office Furniture
market_place,Marketplace Services
eletronicos,Consumer Electronics
eletrodomesticos,Home Appliances
artigos_de_festas,Party Supplies
casa_conforto,Home & Living
construcao_ferramentas_ferramentas,Tools & Hardware
agro_industria_e_comercio,Agriculture & Industry
moveis_colchao_e_estofado,Mattresses & Sofas
livros_tecnicos,Books
casa_construcao,Home Improvement
instrumentos_musicais,Musical Instruments
moveis_sala,furniture_living_room
construcao_ferramentas_iluminacao,Lighting
industria_comercio_e_negocios,Business Supplies
alimentos,Food & Grocery
artes,Arts & Crafts
moveis_quarto,furniture_bedroom
livros_interesse_geral,Books
construcao_ferramentas_seguranca,Security Equipment
fashion_underwear_e_moda_praia,Underwear & Beachwear
fashion_esporte,Sportswear
sinalizacao_e_seguranca,Safety Equipment
pcs,Computers
artigos_de_natal,Seasonal Decorations
fashion_roupa_feminina,Women's Fashion
eletrodomesticos_2,Home Appliances
livros_importados,Books
bebidas,Food & Beverages
cine_foto,Cameras & Photography
la_cuisine,Kitchen Essentials
musica,Music
casa_conforto_2,Home & Living
portateis_casa_forno_e_cafe,Small Home Appliances
cds_dvds_musicais,cds_dvds_musicals
dvds_blu_ray,Movies & Entertainment
flores,Flowers & Gifts
artes_e_artesanato,Handmade Crafts
fraldas_higiene,Baby Care
fashion_roupa_infanto_juvenil,fashion_childrens_clothes
seguros_e_servicos,Insurance & Services
