date,holiday
2024-01-01,New Year's Day
2024-01-11,Independence Manifesto Day
2024-04-10,Eid al-Fitr
2024-04-11,Eid al-Fitr Holiday
2024-05-01,Labour Day
2024-06-17,Eid al-Adha
2024-06-18,Eid al-Adha Holiday
2024-07-07,Islamic New Year
2024-07-30,Throne Day
2024-08-14,Oued Ed-Dahab Day
2024-08-20,Revolution of the King and the People
2024-08-21,Youth Day
2024-09-16,Prophet's Birthday
2024-11-06,Green March
2024-11-18,Independence Day

2025-01-01,New Year's Day
2025-01-11,Independence Manifesto Day
2025-03-31,Eid al-Fitr
2025-04-01,Eid al-Fitr Holiday
2025-05-01,Labour Day
2025-06-07,Eid al-Adha
2025-06-08,Eid al-Adha Holiday
2025-06-27,Islamic New Year
2025-07-30,Throne Day
2025-08-14,Oued Ed-Dahab Day
2025-08-20,Revolution of the King and the People
2025-08-21,Youth Day
2025-09-05,Prophet's Birthday
2025-11-06,Green March
2025-11-18,Independence Day

2026-01-01,New Year's Day
2026-01-11,Independence Manifesto Day
2026-03-20,Eid al-Fitr
2026-03-21,Eid al-Fitr Holiday
2026-05-01,Labour Day
2026-05-27,Eid al-Adha
2026-05-28,Eid al-Adha Holiday
2026-06-16,Islamic New Year
2026-07-30,Throne Day
2026-08-14,Oued Ed-Dahab Day
2026-08-20,Revolution of the King and the People
2026-08-21,Youth Day
2026-08-25,Prophet's Birthday
2026-11-06,Green March
2026-11-18,Independence Day
