brazil_state,morocco_region
SP,Casablanca-Settat
RJ,Rabat-Salé-Kénitra
MG,Tanger-Tétouan-Al Hoceïma
PR,Fès-Meknès
RS,Marrakech-Safi
SC,Souss-Massa
BA,Oriental
DF,Rabat-Salé-Kénitra
ES,Béni Mellal-Khénifra
GO,Drâa-Tafilalet
PE,Tanger-Tétouan-Al Hoceïma
CE,Oriental
PA,Souss-Massa
MT,Béni Mellal-Khénifra
MS,Marrakech-Safi
MA,Fès-Meknès
PB,Oriental
RN,Tanger-Tétouan-Al Hoceïma
PI,Drâa-Tafilalet
AL,Guelmim-Oued Noun
SE,Guelmim-Oued Noun
RO,Laâyoune-Sakia El Hamra
TO,Drâa-Tafilalet
AC,Dakhla-Oued Ed-Dahab
AP,Dakhla-Oued Ed-Dahab
AM,Laâyoune-Sakia El Hamra
RR,Dakhla-Oued Ed-Dahab
